gyroX, 112.12, gyroY, 61.04, gyroZ, 214.48, accX, -0.10, accY, -0.25, accZ, -0.72, Pitch, 45.49, Roll, 128.66, Yaw, -6.60
gyroX, 187.19, gyroY, 451.48, gyroZ, 248.41, accX, 0.08, accY, -0.90, accZ, -0.74, Pitch, 22.08, Roll, -43.43, Yaw, -145.20
gyroX, 206.12, gyroY, 334.29, gyroZ, 255.86, accX, 0.09, accY, -0.75, accZ, -1.19, Pitch, -23.66, Roll, -123.65, Yaw, -70.27
gyroX, 191.10, gyroY, 211.79, gyroZ, 286.99, accX, 0.16, accY, -0.66, accZ, -1.03, Pitch, 61.33, Roll, -164.43, Yaw, 85.51
gyroX, 145.94, gyroY, 285.71, gyroZ, 295.04, accX, 0.26, accY, -0.64, accZ, -0.96, Pitch, -17.97, Roll, -126.97, Yaw, -56.35
gyroX, 85.39, gyroY, 271.18, gyroZ, 325.44, accX, 0.26, accY, -0.62, accZ, -1.25, Pitch, 25.86, Roll, -156.66, Yaw, 116.64
gyroX, 20.20, gyroY, 354.80, gyroZ, 353.21, accX, 0.19, accY, -0.67, accZ, -0.90, Pitch, 14.41, Roll, -133.99, Yaw, -176.10
gyroX, 38.15, gyroY, 226.44, gyroZ, 413.33, accX, 0.29, accY, -1.03, accZ, -0.40, Pitch, 12.56, Roll, -146.13, Yaw, -86.50
gyroX, 45.47, gyroY, 152.47, gyroZ, 451.97, accX, 0.26, accY, -1.17, accZ, -0.27, Pitch, 8.93, Roll, -162.49, Yaw, 81.38
gyroX, 123.47, gyroY, 67.63, gyroZ, 426.39, accX, 0.34, accY, -1.25, accZ, -0.17, Pitch, 26.04, Roll, -168.20, Yaw, -89.40
gyroX, 127.87, gyroY, 184.63, gyroZ, 397.71, accX, 0.54, accY, -1.23, accZ, -0.07, Pitch, 12.83, Roll, -148.27, Yaw, 97.64
gyroX, 126.34, gyroY, 187.68, gyroZ, 416.56, accX, 0.93, accY, -1.81, accZ, -0.13, Pitch, 22.65, Roll, -150.88, Yaw, 124.69
gyroX, 170.23, gyroY, 361.21, gyroZ, 365.30, accX, 0.65, accY, -1.58, accZ, -0.01, Pitch, 15.28, Roll, -153.35, Yaw, 92.10
gyroX, 120.30, gyroY, 629.82, gyroZ, 377.20, accX, 0.80, accY, -1.97, accZ, 0.18, Pitch, 11.90, Roll, -94.77, Yaw, -94.38
gyroX, -57.07, gyroY, 387.02, gyroZ, 320.19, accX, 0.69, accY, -1.71, accZ, -0.17, Pitch, 14.37, Roll, -119.69, Yaw, -101.53
gyroX, -89.54, gyroY, -248.11, gyroZ, 234.13, accX, 0.47, accY, -1.75, accZ, -0.48, Pitch, 49.31, Roll, 39.31, Yaw, 85.13
gyroX, 12.27, gyroY, -80.26, gyroZ, 293.52, accX, 0.39, accY, -1.78, accZ, -0.61, Pitch, -57.27, Roll, 22.80, Yaw, 165.93
gyroX, 39.18, gyroY, -15.20, gyroZ, 257.32, accX, 0.30, accY, -1.62, accZ, -0.16, Pitch, 25.59, Roll, -62.17, Yaw, -57.45
gyroX, 36.62, gyroY, 183.35, gyroZ, 321.53, accX, 0.40, accY, -1.59, accZ, 0.19, Pitch, 61.10, Roll, 123.77, Yaw, 128.84
gyroX, 78.25, gyroY, -36.99, gyroZ, 261.54, accX, 0.60, accY, -1.44, accZ, 0.09, Pitch, -26.48, Roll, -151.97, Yaw, 6.92
gyroX, 125.85, gyroY, 85.82, gyroZ, 179.93, accX, 0.57, accY, -0.76, accZ, -0.17, Pitch, 16.23, Roll, -101.09, Yaw, -39.82
