gyroX, -27.89, gyroY, -453.49, gyroZ, -132.57, accX, -0.33, accY, -0.39, accZ, 0.48, Pitch, -36.66, Roll, -137.42, Yaw, 81.60
gyroX, 96.07, gyroY, -363.40, gyroZ, -115.11, accX, -0.57, accY, -0.44, accZ, 0.31, Pitch, -17.82, Roll, -59.78, Yaw, -73.45
gyroX, 125.31, gyroY, -500.18, gyroZ, -82.52, accX, -1.17, accY, -2.34, accZ, -0.19, Pitch, 5.89, Roll, -120.83, Yaw, 136.66
gyroX, -96.37, gyroY, 587.16, gyroZ, 374.51, accX, -2.00, accY, -0.20, accZ, -0.68, Pitch, -63.69, Roll, 124.52, Yaw, 158.43
gyroX, 113.71, gyroY, 843.99, gyroZ, 149.78, accX, -1.42, accY, -1.81, accZ, -1.05, Pitch, -72.06, Roll, -13.61, Yaw, -39.39
gyroX, -65.67, gyroY, 278.26, gyroZ, 199.40, accX, -0.79, accY, -0.91, accZ, 0.62, Pitch, 60.20, Roll, 176.59, Yaw, 168.00
gyroX, 87.10, gyroY, 50.66, gyroZ, 75.01, accX, -0.30, accY, -0.41, accZ, 0.97, Pitch, 49.38, Roll, 162.56, Yaw, 126.60
gyroX, -130.07, gyroY, 424.01, gyroZ, 60.91, accX, -0.57, accY, 0.66, accZ, 0.17, Pitch, -76.81, Roll, 173.86, Yaw, 63.56
gyroX, 74.77, gyroY, 103.33, gyroZ, 47.97, accX, -0.29, accY, -0.31, accZ, 0.63, Pitch, -27.74, Roll, -6.70, Yaw, -112.24
gyroX, 116.21, gyroY, 153.87, gyroZ, 0.79, accX, 0.12, accY, -0.24, accZ, 0.42, Pitch, 12.85, Roll, 20.04, Yaw, -102.68
gyroX, 16.48, gyroY, -37.78, gyroZ, 21.97, accX, 0.25, accY, -0.84, accZ, 0.84, Pitch, -0.89, Roll, 16.90, Yaw, -102.55
gyroX, -192.20, gyroY, 70.86, gyroZ, -9.64, accX, 0.49, accY, -2.17, accZ, 1.72, Pitch, 6.34, Roll, -53.02, Yaw, -103.95
gyroX, -29.17, gyroY, 122.07, gyroZ, 59.39, accX, 0.88, accY, -2.27, accZ, 1.24, Pitch, 30.79, Roll, -76.81, Yaw, -124.61
gyroX, -24.96, gyroY, 199.71, gyroZ, 9.03, accX, 0.67, accY, -2.71, accZ, 1.38, Pitch, -4.10, Roll, -125.34, Yaw, 145.39
gyroX, -29.17, gyroY, -291.50, gyroZ, -40.04, accX, 0.02, accY, -2.04, accZ, 0.05, Pitch, -10.38, Roll, -108.07, Yaw, -155.99
gyroX, -65.00, gyroY, -196.78, gyroZ, -84.66, accX, -0.27, accY, -0.50, accZ, -0.23, Pitch, 26.98, Roll, -104.36, Yaw, -6.95
gyroX, -226.26, gyroY, -289.86, gyroZ, -177.49, accX, 0.01, accY, -0.10, accZ, -0.13, Pitch, 55.48, Roll, -150.56, Yaw, -151.23
gyroX, -55.97, gyroY, -494.57, gyroZ, -163.45, accX, -0.20, accY, -0.07, accZ, 0.46, Pitch, 4.11, Roll, -162.09, Yaw, -184.25
gyroX, -106.93, gyroY, -524.35, gyroZ, -170.47, accX, -0.18, accY, -0.33, accZ, 0.29, Pitch, -26.63, Roll, -73.01, Yaw, 35.60
gyroX, -89.78, gyroY, -361.76, gyroZ, -179.93, accX, -0.26, accY, -0.34, accZ, 0.32, Pitch, 27.31, Roll, -74.60, Yaw, -30.65
gyroX, -30.40, gyroY, -267.88, gyroZ, -118.29, accX, -0.34, accY, -0.46, accZ, 0.33, Pitch, -32.48, Roll, -110.61, Yaw, 92.67
gyroX, -34.36, gyroY, -161.80, gyroZ, -145.14, accX, -1.17, accY, -2.41, accZ, 0.48, Pitch, -1.62, Roll, -144.09, Yaw, -163.82
gyroX, 89.97, gyroY, 409.85, gyroZ, 350.77, accX, -2.64, accY, 0.11, accZ, -2.54, Pitch, -85.40, Roll, -142.95, Yaw, 117.87
gyroX, 286.07, gyroY, 351.68, gyroZ, 128.60, accX, -2.09, accY, -1.79, accZ, 0.35, Pitch, 15.27, Roll, 172.56, Yaw, 125.92
gyroX, -69.95, gyroY, 329.04, gyroZ, 231.02, accX, 0.38, accY, -1.11, accZ, 0.94, Pitch, -43.34, Roll, -71.23, Yaw, -64.86
gyroX, 228.70, gyroY, 1064.64, gyroZ, 224.79, accX, -0.25, accY, 0.31, accZ, 0.35, Pitch, -49.02, Roll, -122.33, Yaw, -18.95
gyroX, -32.65, gyroY, 401.92, gyroZ, 37.78, accX, -1.28, accY, -0.60, accZ, 1.47, Pitch, 51.29, Roll, -122.53, Yaw, 101.33
gyroX, 118.29, gyroY, 37.66, gyroZ, -16.85, accX, 0.09, accY, -0.23, accZ, 1.00, Pitch, 10.59, Roll, 1.04, Yaw, -173.48
gyroX, 21.91, gyroY, 303.34, gyroZ, 37.84, accX, -0.07, accY, -0.18, accZ, 0.41, Pitch, 41.98, Roll, 169.33, Yaw, -10.02
gyroX, 0.55, gyroY, -12.88, gyroZ, 70.98, accX, 0.22, accY, -0.74, accZ, 1.06, Pitch, 12.97, Roll, -179.28, Yaw, -28.96
gyroX, -124.08, gyroY, -41.87, gyroZ, -8.85, accX, 0.32, accY, -2.82, accZ, 1.92, Pitch, 30.94, Roll, 137.25, Yaw, -35.91
gyroX, -56.95, gyroY, -96.01, gyroZ, 12.57, accX, 1.18, accY, -2.15, accZ, 0.82, Pitch, 35.11, Roll, 71.25, Yaw, -90.04
gyroX, 63.42, gyroY, -147.64, gyroZ, -74.65, accX, 0.07, accY, -1.86, accZ, 0.28, Pitch, -4.32, Roll, 48.19, Yaw, -143.30
