gyroX, -6.04, gyroY, -30.33, gyroZ, -138.55, accX, 0.01, accY, -1.00, accZ, 0.39, Pitch, 5.79, Roll, -86.33, Yaw, -75.72
gyroX, -70.92, gyroY, -57.56, gyroZ, -117.31, accX, 0.38, accY, -0.69, accZ, 0.38, Pitch, -41.42, Roll, -114.84, Yaw, -31.87
gyroX, -30.94, gyroY, -8.67, gyroZ, -84.84, accX, 0.43, accY, -0.71, accZ, 0.27, Pitch, -59.97, Roll, -131.64, Yaw, -19.37
gyroX, -2.75, gyroY, -198.49, gyroZ, -170.72, accX, 0.30, accY, -0.76, accZ, -0.01, Pitch, -35.52, Roll, 172.52, Yaw, 62.44
gyroX, 89.23, gyroY, -389.53, gyroZ, -225.40, accX, 0.65, accY, -0.82, accZ, 0.07, Pitch, 38.59, Roll, -95.62, Yaw, -172.38
gyroX, 33.75, gyroY, -383.36, gyroZ, -51.57, accX, 0.79, accY, -0.66, accZ, 0.02, Pitch, -41.52, Roll, -125.98, Yaw, 4.08
gyroX, 216.00, gyroY, -1039.49, gyroZ, -317.75, accX, 1.20, accY, -0.86, accZ, 0.43, Pitch, 8.82, Roll, -89.02, Yaw, -168.60
gyroX, 646.00, gyroY, -651.92, gyroZ, -232.18, accX, 0.99, accY, -1.39, accZ, -0.08, Pitch, -36.71, Roll, -69.56, Yaw, -146.13
gyroX, 10.13, gyroY, -32.53, gyroZ, -65.19, accX, -0.35, accY, -0.88, accZ, -0.20, Pitch, -39.22, Roll, -59.99, Yaw, -144.21
gyroX, -258.54, gyroY, -47.36, gyroZ, -173.46, accX, -0.27, accY, -0.76, accZ, -0.16, Pitch, -50.26, Roll, 158.11, Yaw, -102.68
gyroX, -37.72, gyroY, -165.83, gyroZ, -77.76, accX, 0.13, accY, -0.84, accZ, -0.73, Pitch, 37.85, Roll, 99.94, Yaw, -144.90
gyroX, 14.47, gyroY, -40.89, gyroZ, -156.19, accX, 0.02, accY, -0.45, accZ, -0.78, Pitch, 44.07, Roll, -25.84, Yaw, 65.63
gyroX, 56.95, gyroY, -151.00, gyroZ, -65.73, accX, -0.17, accY, -0.85, accZ, -0.77, Pitch, -10.08, Roll, -11.73, Yaw, 43.70
gyroX, 137.63, gyroY, 179.75, gyroZ, -40.53, accX, 0.34, accY, -0.86, accZ, -0.34, Pitch, 62.82, Roll, -69.09, Yaw, -91.06
gyroX, 87.40, gyroY, 273.32, gyroZ, 12.33, accX, 0.43, accY, -0.99, accZ, -0.80, Pitch, -45.01, Roll, -88.10, Yaw, 98.94
