gyroX, -12.15, gyroY, 3.54, gyroZ, 1.77, accX, -0.12, accY, -0.97, accZ, -0.09, Pitch, 8.51, Roll, -108.38, Yaw, -57.42
gyroX, -12.88, gyroY, 5.13, gyroZ, 1.95, accX, -0.11, accY, -0.97, accZ, -0.08, Pitch, 8.16, Roll, -108.39, Yaw, -58.19
gyroX, -13.43, gyroY, 6.53, gyroZ, 2.20, accX, -0.11, accY, -0.97, accZ, -0.10, Pitch, 7.59, Roll, -108.74, Yaw, -60.83
gyroX, -13.73, gyroY, 6.16, gyroZ, 2.26, accX, -0.10, accY, -0.97, accZ, -0.09, Pitch, 7.18, Roll, -108.93, Yaw, -62.87
gyroX, -14.83, gyroY, 4.82, gyroZ, 1.53, accX, -0.11, accY, -0.98, accZ, -0.09, Pitch, 7.00, Roll, -109.63, Yaw, -64.99
gyroX, -14.65, gyroY, 6.90, gyroZ, 1.22, accX, -0.09, accY, -0.98, accZ, -0.11, Pitch, 6.41, Roll, -109.92, Yaw, -66.61
gyroX, -14.95, gyroY, 11.90, gyroZ, 0.98, accX, -0.10, accY, -0.98, accZ, -0.09, Pitch, 5.18, Roll, -110.63, Yaw, -72.28
gyroX, -12.63, gyroY, 9.34, gyroZ, -0.98, accX, -0.11, accY, -0.97, accZ, -0.09, Pitch, 4.57, Roll, -110.48, Yaw, -74.54
gyroX, -13.00, gyroY, 5.62, gyroZ, -2.14, accX, -0.11, accY, -0.96, accZ, -0.13, Pitch, 3.77, Roll, -110.46, Yaw, -77.04
gyroX, -11.41, gyroY, 2.56, gyroZ, -4.21, accX, -0.12, accY, -0.99, accZ, -0.13, Pitch, 3.14, Roll, -109.84, Yaw, -77.31
gyroX, -7.75, gyroY, -3.48, gyroZ, -6.35, accX, -0.11, accY, -0.95, accZ, -0.14, Pitch, 2.73, Roll, -109.07, Yaw, -75.92
gyroX, -6.16, gyroY, -10.80, gyroZ, -7.93, accX, -0.13, accY, -0.97, accZ, -0.14, Pitch, 2.75, Roll, -107.69, Yaw, -71.34
gyroX, -6.35, gyroY, -15.81, gyroZ, -7.93, accX, -0.12, accY, -0.98, accZ, -0.15, Pitch, 3.04, Roll, -106.27, Yaw, -64.61
gyroX, -7.32, gyroY, -25.45, gyroZ, -8.97, accX, -0.10, accY, -0.99, accZ, -0.11, Pitch, 3.30, Roll, -105.14, Yaw, -52.71
gyroX, -7.63, gyroY, -23.13, gyroZ, -8.12, accX, -0.09, accY, -0.99, accZ, -0.08, Pitch, 3.23, Roll, -103.43, Yaw, -38.02
gyroX, -7.93, gyroY, -18.74, gyroZ, -8.12, accX, -0.10, accY, -1.00, accZ, -0.08, Pitch, 2.71, Roll, -102.70, Yaw, -31.32
gyroX, -7.51, gyroY, -19.90, gyroZ, -8.73, accX, -0.10, accY, -0.98, accZ, -0.06, Pitch, 2.35, Roll, -101.78, Yaw, -21.47
gyroX, -7.63, gyroY, -14.65, gyroZ, -7.51, accX, -0.11, accY, -0.99, accZ, -0.07, Pitch, 1.99, Roll, -101.43, Yaw, -12.62
gyroX, -7.93, gyroY, -9.46, gyroZ, -5.86, accX, -0.12, accY, -0.98, accZ, -0.06, Pitch, 2.28, Roll, -101.47, Yaw, -7.36
gyroX, -10.31, gyroY, -5.74, gyroZ, -2.87, accX, -0.14, accY, -0.99, accZ, -0.07, Pitch, 3.03, Roll, -101.98, Yaw, -5.68
gyroX, -11.54, gyroY, -1.28, gyroZ, -0.31, accX, -0.11, accY, -0.99, accZ, -0.06, Pitch, 4.03, Roll, -103.19, Yaw, -4.42
gyroX, -12.70, gyroY, 3.78, gyroZ, 2.44, accX, -0.09, accY, -0.99, accZ, -0.06, Pitch, 5.11, Roll, -104.49, Yaw, -4.95
gyroX, -11.60, gyroY, 10.07, gyroZ, 4.27, accX, -0.06, accY, -0.98, accZ, -0.06, Pitch, 5.45, Roll, -105.30, Yaw, -9.40
gyroX, -12.02, gyroY, 8.61, gyroZ, 4.82, accX, -0.07, accY, -0.98, accZ, -0.07, Pitch, 5.61, Roll, -105.60, Yaw, -11.93
gyroX, -12.94, gyroY, 4.39, gyroZ, 4.82, accX, -0.10, accY, -1.00, accZ, -0.07, Pitch, 6.65, Roll, -106.04, Yaw, -14.04
gyroX, -15.50, gyroY, 2.62, gyroZ, 6.77, accX, -0.11, accY, -0.99, accZ, -0.06, Pitch, 8.27, Roll, -107.22, Yaw, -15.74
gyroX, -16.48, gyroY, 2.01, gyroZ, 7.81, accX, -0.09, accY, -0.98, accZ, -0.06, Pitch, 9.48, Roll, -108.05, Yaw, -16.73
gyroX, -17.82, gyroY, 1.22, gyroZ, 8.79, accX, -0.08, accY, -0.99, accZ, -0.05, Pitch, 10.58, Roll, -108.71, Yaw, -17.14
gyroX, -17.70, gyroY, 4.88, gyroZ, 8.54, accX, -0.06, accY, -0.99, accZ, -0.05, Pitch, 11.15, Roll, -110.20, Yaw, -20.08
gyroX, -17.03, gyroY, 6.71, gyroZ, 8.36, accX, -0.07, accY, -1.00, accZ, -0.07, Pitch, 10.91, Roll, -110.96, Yaw, -22.58
gyroX, -17.27, gyroY, 8.36, gyroZ, 8.85, accX, -0.07, accY, -0.99, accZ, -0.07, Pitch, 10.56, Roll, -111.84, Yaw, -26.29
gyroX, -16.85, gyroY, 1.53, gyroZ, 6.71, accX, -0.09, accY, -0.98, accZ, -0.09, Pitch, 10.87, Roll, -112.04, Yaw, -27.70
gyroX, -18.25, gyroY, 3.42, gyroZ, 7.08, accX, -0.12, accY, -0.99, accZ, -0.09, Pitch, 11.64, Roll, -112.73, Yaw, -28.46
gyroX, -20.57, gyroY, 9.64, gyroZ, 8.00, accX, -0.10, accY, -0.98, accZ, -0.05, Pitch, 11.25, Roll, -114.22, Yaw, -32.19
gyroX, -20.32, gyroY, 9.89, gyroZ, 6.77, accX, -0.07, accY, -0.98, accZ, -0.07, Pitch, 10.09, Roll, -115.15, Yaw, -35.91
gyroX, -21.06, gyroY, 12.08, gyroZ, 6.90, accX, -0.07, accY, -1.00, accZ, -0.07, Pitch, 8.43, Roll, -115.61, Yaw, -41.02
gyroX, -19.04, gyroY, 8.85, gyroZ, 5.49, accX, -0.09, accY, -0.96, accZ, -0.07, Pitch, 7.73, Roll, -115.27, Yaw, -45.33
gyroX, -21.48, gyroY, 7.93, gyroZ, 5.43, accX, -0.09, accY, -0.97, accZ, -0.07, Pitch, 7.86, Roll, -115.99, Yaw, -48.70
gyroX, -21.79, gyroY, 5.80, gyroZ, 4.82, accX, -0.12, accY, -0.99, accZ, -0.09, Pitch, 8.24, Roll, -116.69, Yaw, -51.78
gyroX, -21.61, gyroY, 0.67, gyroZ, 3.97, accX, -0.10, accY, -0.97, accZ, -0.09, Pitch, 8.56, Roll, -117.12, Yaw, -52.63
gyroX, -21.24, gyroY, -3.97, gyroZ, 2.56, accX, -0.11, accY, -0.97, accZ, -0.11, Pitch, 9.69, Roll, -117.12, Yaw, -49.47
gyroX, -21.36, gyroY, -3.36, gyroZ, 2.69, accX, -0.11, accY, -0.97, accZ, -0.10, Pitch, 10.10, Roll, -117.09, Yaw, -47.51
gyroX, -21.67, gyroY, -6.65, gyroZ, 2.01, accX, -0.12, accY, -0.97, accZ, -0.08, Pitch, 10.57, Roll, -116.72, Yaw, -45.11
gyroX, -19.96, gyroY, -12.45, gyroZ, 0.85, accX, -0.13, accY, -0.99, accZ, -0.08, Pitch, 11.63, Roll, -115.29, Yaw, -38.32
gyroX, -17.82, gyroY, -11.17, gyroZ, 0.67, accX, -0.12, accY, -0.99, accZ, -0.09, Pitch, 12.12, Roll, -113.67, Yaw, -30.29
gyroX, -16.97, gyroY, -12.63, gyroZ, -0.49, accX, -0.11, accY, -0.96, accZ, -0.10, Pitch, 12.11, Roll, -112.46, Yaw, -22.89
