gyroX, -173.89, gyroY, -177.98, gyroZ, 67.26, accX, -0.12, accY, -1.42, accZ, 0.03, Pitch, 43.60, Roll, -159.59, Yaw, -94.57
gyroX, -161.99, gyroY, -36.50, gyroZ, 91.00, accX, -0.70, accY, -1.53, accZ, 0.43, Pitch, 72.84, Roll, 15.69, Yaw, 161.90
gyroX, -147.58, gyroY, 122.38, gyroZ, 44.25, accX, -0.20, accY, -0.90, accZ, 0.55, Pitch, 32.60, Roll, 133.40, Yaw, 13.90
gyroX, -69.82, gyroY, 69.70, gyroZ, 62.19, accX, -0.12, accY, -0.76, accZ, 0.64, Pitch, -5.66, Roll, 94.15, Yaw, 41.50
gyroX, -68.79, gyroY, 44.80, gyroZ, 32.59, accX, 0.07, accY, -0.51, accZ, 0.46, Pitch, -15.99, Roll, 29.21, Yaw, 88.44
gyroX, 10.38, gyroY, -55.24, gyroZ, 28.20, accX, 0.00, accY, -0.57, accZ, 0.53, Pitch, -30.06, Roll, -7.31, Yaw, 112.80
gyroX, 30.76, gyroY, -83.13, gyroZ, 21.73, accX, -0.01, accY, -0.53, accZ, 0.43, Pitch, -42.29, Roll, -18.00, Yaw, 129.48
gyroX, -155.15, gyroY, 350.89, gyroZ, -56.27, accX, 0.12, accY, -1.08, accZ, -0.32, Pitch, 14.61, Roll, -91.52, Yaw, 46.93
gyroX, 202.15, gyroY, -358.15, gyroZ, 149.84, accX, 0.45, accY, -1.18, accZ, 0.11, Pitch, 18.03, Roll, -73.36, Yaw, 47.79
gyroX, 73.18, gyroY, -121.22, gyroZ, 71.29, accX, -0.82, accY, -1.22, accZ, 1.09, Pitch, 38.47, Roll, -69.83, Yaw, 44.36
gyroX, -166.56, gyroY, 77.27, gyroZ, -12.94, accX, -0.34, accY, -1.44, accZ, 0.24, Pitch, -6.54, Roll, -133.40, Yaw, 24.13
