gyroX, -50.42, gyroY, 55.73, gyroZ, -12.15, accX, -0.08, accY, 0.89, accZ, -0.06, Pitch, -47.74, Roll, 49.26, Yaw, 77.99
gyroX, -49.26, gyroY, 90.76, gyroZ, -23.01, accX, -0.11, accY, 0.91, accZ, 0.08, Pitch, -19.63, Roll, 40.24, Yaw, 82.74
gyroX, -26.67, gyroY, 56.03, gyroZ, -47.36, accX, -0.15, accY, 0.85, accZ, 0.12, Pitch, 8.15, Roll, 42.38, Yaw, 84.35
gyroX, 0.55, gyroY, 13.49, gyroZ, -67.32, accX, -0.18, accY, 0.90, accZ, 0.12, Pitch, 23.95, Roll, 48.72, Yaw, 76.70
gyroX, 29.85, gyroY, 47.49, gyroZ, -49.38, accX, -0.22, accY, 0.85, accZ, 0.09, Pitch, 46.84, Roll, 73.06, Yaw, 78.35
gyroX, 71.72, gyroY, -4.27, gyroZ, -93.20, accX, -0.37, accY, 0.93, accZ, -0.02, Pitch, 60.66, Roll, 94.61, Yaw, 83.13
gyroX, 91.98, gyroY, 1.89, gyroZ, -108.09, accX, -0.48, accY, 0.80, accZ, -0.23, Pitch, 77.10, Roll, 146.39, Yaw, 111.64
gyroX, 49.13, gyroY, 44.92, gyroZ, -86.91, accX, -0.37, accY, 0.76, accZ, -0.29, Pitch, 64.25, Roll, -153.16, Yaw, 158.12
gyroX, 52.06, gyroY, 86.98, gyroZ, -95.52, accX, -0.15, accY, 0.82, accZ, -0.22, Pitch, 35.31, Roll, -153.51, Yaw, 155.71
gyroX, 103.76, gyroY, 34.79, gyroZ, -191.59, accX, -0.07, accY, 0.60, accZ, -0.32, Pitch, -36.31, Roll, -133.61, Yaw, -153.64
gyroX, 143.62, gyroY, -34.36, gyroZ, -318.54, accX, -0.24, accY, 0.23, accZ, -0.33, Pitch, -2.71, Roll, 162.11, Yaw, 29.31
gyroX, 185.30, gyroY, -164.92, gyroZ, -446.84, accX, -0.57, accY, -0.21, accZ, -0.43, Pitch, -0.03, Roll, -124.57, Yaw, 145.00
gyroX, 129.94, gyroY, -252.01, gyroZ, -502.93, accX, -0.94, accY, -0.50, accZ, -0.44, Pitch, -16.81, Roll, -177.73, Yaw, -3.42
gyroX, 69.27, gyroY, -258.54, gyroZ, -441.53, accX, -1.21, accY, -0.67, accZ, -0.40, Pitch, 5.64, Roll, -123.78, Yaw, 159.41
gyroX, -50.05, gyroY, -324.04, gyroZ, -334.05, accX, -1.43, accY, -0.90, accZ, -0.30, Pitch, 4.21, Roll, -148.51, Yaw, 10.75
gyroX, -159.18, gyroY, -429.20, gyroZ, -78.43, accX, -1.48, accY, -1.34, accZ, -0.36, Pitch, 12.20, Roll, -96.75, Yaw, -57.46
gyroX, -451.17, gyroY, -156.25, gyroZ, 178.16, accX, -1.37, accY, -1.48, accZ, 0.33, Pitch, 72.65, Roll, 9.56, Yaw, -92.95
gyroX, -396.55, gyroY, -162.96, gyroZ, 280.58, accX, -1.06, accY, -1.27, accZ, 0.65, Pitch, 35.51, Roll, -24.07, Yaw, 18.27
gyroX, -190.37, gyroY, -174.74, gyroZ, 249.57, accX, -0.88, accY, -0.80, accZ, 0.76, Pitch, 40.48, Roll, -22.59, Yaw, -54.99
gyroX, -123.72, gyroY, -160.03, gyroZ, 247.38, accX, -0.89, accY, -0.74, accZ, 0.74, Pitch, 25.66, Roll, -14.94, Yaw, 11.49
gyroX, -85.39, gyroY, -69.27, gyroZ, 251.89, accX, -0.87, accY, -0.57, accZ, 0.76, Pitch, 21.93, Roll, -15.92, Yaw, 66.55
gyroX, -31.31, gyroY, -27.28, gyroZ, 287.05, accX, -0.72, accY, -0.40, accZ, 0.72, Pitch, 28.51, Roll, 7.34, Yaw, 153.63
gyroX, -25.02, gyroY, 32.84, gyroZ, 276.98, accX, -0.57, accY, -0.27, accZ, 0.70, Pitch, 20.51, Roll, 22.18, Yaw, -148.69
gyroX, 10.74, gyroY, 20.39, gyroZ, 230.16, accX, -0.68, accY, -0.17, accZ, 0.76, Pitch, 11.70, Roll, 29.64, Yaw, -112.81
gyroX, 101.38, gyroY, -17.70, gyroZ, 221.92, accX, -0.67, accY, -0.09, accZ, 0.71, Pitch, -9.80, Roll, 43.88, Yaw, -81.00
gyroX, 130.80, gyroY, 52.43, gyroZ, 272.40, accX, -0.43, accY, 0.19, accZ, 0.44, Pitch, -50.61, Roll, 13.66, Yaw, 48.65
gyroX, 147.03, gyroY, 57.56, gyroZ, 283.33, accX, -0.15, accY, 0.44, accZ, 0.25, Pitch, -12.53, Roll, 28.15, Yaw, -161.03
gyroX, 57.62, gyroY, 205.81, gyroZ, 266.36, accX, 0.35, accY, 0.67, accZ, 0.27, Pitch, -13.36, Roll, 25.35, Yaw, 34.11
gyroX, 175.78, gyroY, 55.48, gyroZ, 105.16, accX, 0.53, accY, 0.87, accZ, 0.15, Pitch, -27.91, Roll, 70.52, Yaw, 90.14
gyroX, 212.77, gyroY, -1.77, gyroZ, -146.48, accX, 0.72, accY, 0.44, accZ, -0.14, Pitch, -19.35, Roll, 171.58, Yaw, 118.74
gyroX, 212.34, gyroY, -98.02, gyroZ, -405.88, accX, 0.31, accY, 0.14, accZ, -0.03, Pitch, -19.69, Roll, -167.60, Yaw, -103.02
gyroX, 290.28, gyroY, -333.13, gyroZ, -785.64, accX, -0.77, accY, -1.39, accZ, -0.01, Pitch, -13.70, Roll, -157.91, Yaw, -103.55
gyroX, 212.65, gyroY, -298.95, gyroZ, -866.70, accX, -1.73, accY, -2.04, accZ, 0.26, Pitch, -11.97, Roll, -163.06, Yaw, -133.05
gyroX, 194.15, gyroY, -340.76, gyroZ, -724.37, accX, -2.45, accY, -2.32, accZ, 0.44, Pitch, -15.78, Roll, -158.05, Yaw, -161.94
gyroX, 125.92, gyroY, 59.88, gyroZ, 26.18, accX, -2.26, accY, -1.68, accZ, 0.25, Pitch, -38.46, Roll, -114.82, Yaw, -62.13
gyroX, 63.66, gyroY, 87.89, gyroZ, 276.92, accX, -1.48, accY, -1.82, accZ, 0.12, Pitch, 58.03, Roll, -84.87, Yaw, -103.34
gyroX, -44.68, gyroY, 98.94, gyroZ, 413.94, accX, -1.14, accY, -1.39, accZ, 0.25, Pitch, -19.49, Roll, 98.86, Yaw, 85.37
gyroX, 36.13, gyroY, -56.03, gyroZ, 503.36, accX, -0.90, accY, -0.69, accZ, 0.07, Pitch, 18.47, Roll, -99.24, Yaw, -90.69
gyroX, -18.43, gyroY, 7.45, gyroZ, 615.17, accX, -0.40, accY, -0.59, accZ, -0.10, Pitch, -39.52, Roll, 98.10, Yaw, 86.35
gyroX, -272.89, gyroY, 262.27, gyroZ, 679.93, accX, 0.36, accY, -0.47, accZ, -0.05, Pitch, 51.80, Roll, -171.28, Yaw, 156.56
gyroX, -504.09, gyroY, 539.55, gyroZ, 511.47, accX, 0.50, accY, -0.22, accZ, 0.27, Pitch, 15.17, Roll, -71.92, Yaw, -129.87
gyroX, -625.00, gyroY, 515.93, gyroZ, 199.71, accX, 0.27, accY, -0.35, accZ, 0.88, Pitch, 16.93, Roll, -129.14, Yaw, -179.84
gyroX, -322.94, gyroY, 162.54, gyroZ, -64.94, accX, -0.09, accY, 0.14, accZ, 1.44, Pitch, -24.24, Roll, 54.44, Yaw, -152.17
gyroX, 47.97, gyroY, 125.00, gyroZ, -212.77, accX, -0.37, accY, 0.26, accZ, 1.43, Pitch, 42.96, Roll, 35.53, Yaw, -167.96
gyroX, 411.62, gyroY, 66.53, gyroZ, -371.95, accX, -0.37, accY, -0.09, accZ, 0.95, Pitch, 62.30, Roll, -42.74, Yaw, 19.80
gyroX, 668.40, gyroY, -101.56, gyroZ, -672.79, accX, -0.54, accY, -1.20, accZ, 0.23, Pitch, 36.27, Roll, 43.09, Yaw, -154.45
gyroX, 662.11, gyroY, -351.38, gyroZ, -1031.19, accX, -0.69, accY, -3.21, accZ, -0.14, Pitch, 5.80, Roll, 23.04, Yaw, -83.64
gyroX, 367.98, gyroY, -302.43, gyroZ, -1174.93, accX, -1.50, accY, -4.23, accZ, -0.05, Pitch, 3.26, Roll, 30.67, Yaw, -109.99
gyroX, 103.39, gyroY, 223.63, gyroZ, -782.84, accX, -2.10, accY, -2.59, accZ, 0.34, Pitch, -12.52, Roll, -20.40, Yaw, -45.45
gyroX, 97.23, gyroY, 336.61, gyroZ, -256.29, accX, -2.41, accY, -1.36, accZ, 0.34, Pitch, 31.15, Roll, -18.76, Yaw, -116.92
gyroX, 36.62, gyroY, 221.37, gyroZ, 256.59, accX, -1.79, accY, -1.28, accZ, 0.07, Pitch, 66.54, Roll, 47.07, Yaw, -42.95
gyroX, -89.23, gyroY, 216.86, gyroZ, 591.55, accX, -1.12, accY, -1.34, accZ, 0.07, Pitch, -9.30, Roll, 78.98, Yaw, 33.50
gyroX, -202.33, gyroY, 131.90, gyroZ, 727.84, accX, -0.58, accY, -1.33, accZ, 0.10, Pitch, -30.86, Roll, -43.04, Yaw, 161.24
gyroX, -276.37, gyroY, 212.83, gyroZ, 647.09, accX, -0.30, accY, -0.63, accZ, 0.18, Pitch, -35.28, Roll, 73.52, Yaw, 54.47
gyroX, -264.10, gyroY, 166.38, gyroZ, 533.02, accX, -0.10, accY, -0.08, accZ, 0.19, Pitch, 76.35, Roll, -96.27, Yaw, 162.45
gyroX, -266.78, gyroY, 189.39, gyroZ, 434.69, accX, 0.13, accY, 0.23, accZ, 0.13, Pitch, -26.40, Roll, 6.50, Yaw, 109.16
